threshold;accuracy;precision_verdadeiro;recall_verdadeiro;f1_verdadeiro;precision_falso;recall_falso;f1_falso;qtd_linhas_usadas
0,5;0,08;0,09523809523809523;0,3333333333333333;0,14814814814814814;0,0;0,0;0,0;25
0,6;0,16;0,10526315789473684;0,3333333333333333;0,16;0,3333333333333333;0,10526315789473684;0,16;25
0,7;0,48;0,1111111111111111;0,16666666666666666;0,13333333333333333;0,6875;0,5789473684210527;0,6285714285714286;25
0,8;0,72;0,0;0,0;0,0;0,75;0,9473684210526315;0,8372093023255814;25
0,9;0,76;0,0;0,0;0,0;0,76;1,0;0,8636363636363636;25
